typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
406 4 49 1 0 2 7 2 1 1 1 3 1 1 2 1 0 42 3 1 1 1 1 4
407 4 49 1 0 1 6 2 1 6 2 3 4 2 2 1 0 49 3 2 1 1 0 4
408 4 49 1 0 3 5 2 2 6 2 3 4 2 6 2 0 42 3 2 1 1 0 4
411 0 33 1 1 2 5 2 1 3 1 3 2 3 2 1 1 62 2 1 0 NA 1 3
413 0 33 1 1 1 4 2 4 3 1 3 2 5 3 2 0 60 1 1 0 NA 0 2
414 0 33 1 0 2 5 2 4 5 2 2 2 2 1 2 0 31 3 1 0 0 1 4
416 0 22 1 0 2 9 2 3 4 1 3 3 3 2 1 0 58 2 2 0 0 0 2
417 4 37 2 0 3 7 2 3 3 2 4 3 2 2 2 0 35 3 2 0 1 0 4
418 4 37 2 0 2 5 2 2 4 1 3 4 6 2 2 0 31 3 1 0 1 0 2
419 4 37 2 0 2 6 2 3 6 1 3 4 1 2 2 0 38 3 1 0 1 0 2
420 4 37 2 0 2 7 2 3 4 2 3 4 2 2 1 0 34 3 1 1 1 0 2
421 4 37 2 0 2 6 2 4 3 1 4 2 2 2 1 0 45 3 1 1 1 1 4
422 4 37 2 0 1 3 2 4 6 1 3 4 2 2 1 0 65 2 1 1 0 1 4
423 4 32 3 0 2 8 2 3 3 2 3 NA 7 2 1 0 37 3 2 0 1 0 2
424 4 41 2 0 2 5 2 3 5 1 4 5 1 2 1 0 50 2 1 0 1 0 NA
426 4 24 1 1 2 2 NA 2 3 2 3 2 7 2 1 0 80 1 1 0 1 NA NA
428 4 51 3 0 1 2 1 4 2 1 3 2 7 2 1 0 81 2 1 0 1 0 2
429 4 13 1 0 3 10 2 5 2 2 3 2 5 2 2 0 44 3 2 0 1 1 4
430 4 13 1 0 3 10 2 5 1 2 3 1 7 2 2 0 34 3 2 0 1 0 4
432 4 13 1 0 3 9 2 3 3 2 3 2 7 2 2 0 65 2 2 0 1 0 3
434 4 47 2 0 1 4 2 2 8 1 3 5 2 2 1 1 51 3 1 0 NA 0 2
435 4 47 2 1 2 6 2 4 1 1 3 1 1 2 1 0 50 1 2 NA 1 0 2
436 4 47 2 1 1 2 2 1 3 1 2 2 2 2 1 1 48 1 1 0 NA 0 2
437 4 47 2 0 1 1 2 2 2 2 3 2 1 2 1 0 75 3 1 0 1 0 2
438 4 62 2 1 2 1 1 2 5 2 4 2 2 5 2 0 87 1 NA NA NA 0 1
439 4 62 2 0 2 5 1 2 8 2 3 5 NA 6 2 0 58 3 1 0 1 0 4
446 0 71 1 0 2 6 2 3 1 1 4 1 1 7 1 0 46 3 2 0 1 1 2
450 4 43 3 0 1 4 1 4 5 2 3 2 6 2 2 1 54 2 1 0 NA 0 4
451 4 66 3 1 1 2 2 2 4 1 3 4 1 2 1 0 83 1 2 0 NA 0 2
452 4 66 3 1 1 2 NA 3 4 1 3 4 2 2 2 0 44 3 2 0 1 NA NA
453 4 12 2 0 3 9 2 5 3 2 3 1 6 2 2 0 56 2 2 0 0 0 3
454 4 12 2 0 2 7 2 3 5 2 3 5 6 2 2 0 39 3 1 0 0 0 1
455 4 12 2 1 2 3 1 2 8 2 3 5 3 2 2 0 72 1 1 0 1 0 4
456 4 14 2 0 2 9 1 4 1 2 4 1 7 1 2 0 33 3 1 0 1 0 4
457 4 14 2 0 2 6 1 3 3 2 3 1 7 1 2 0 28 3 2 0 1 0 4
458 0 3 1 0 1 6 2 1 3 1 2 2 1 2 2 0 51 2 1 0 0 1 4
459 4 3 4 0 2 6 2 1 5 1 3 2 2 2 2 0 44 3 1 0 0 1 NA
460 4 3 4 0 2 6 1 5 3 2 3 5 5 2 2 0 37 2 2 0 0 0 2
461 4 22 NA 0 2 8 2 3 3 2 3 2 1 2 1 0 54 3 1 1 NA 1 4
463 4 22 NA 0 2 7 2 3 8 2 3 5 4 2 1 0 45 3 1 0 1 1 4
464 0 21 1 0 2 7 2 3 4 2 3 4 6 2 1 0 41 2 2 1 0 0 2
465 4 22 NA 0 2 8 2 4 5 1 2 2 7 2 1 0 37 3 2 1 1 0 4
466 0 21 1 0 3 9 2 5 2 2 3 2 6 2 2 0 29 2 2 0 1 0 3
467 0 21 1 0 2 7 2 4 1 1 3 1 2 2 2 0 47 2 1 0 0 0 NA
468 0 13 1 0 2 5 2 3 5 2 4 5 1 6 2 1 31 3 1 0 NA 0 2
469 0 13 1 0 2 8 2 2 3 1 3 2 1 1 2 0 49 3 1 0 0 1 4
470 0 13 1 0 2 6 1 2 1 1 3 1 1 2 1 0 28 2 1 0 0 1 2
473 0 13 1 0 3 9 1 5 2 2 3 2 2 2 1 0 42 3 2 0 NA 0 4
474 0 13 1 0 3 5 2 4 4 2 3 4 1 2 1 0 58 2 2 0 NA 0 2
475 0 13 1 1 2 5 2 3 3 2 2 2 5 2 2 0 55 1 2 1 NA 0 2
476 4 14 4 0 2 9 1 5 4 1 3 4 2 2 2 0 43 2 1 0 1 1 4
478 4 44 4 0 1 1 2 4 4 1 3 1 2 2 1 0 56 2 1 0 1 0 2
479 4 44 4 1 1 7 2 3 4 1 3 4 1 5 2 0 80 1 1 0 1 0 3
480 0 12 NA 0 3 8 1 4 3 2 3 1 1 2 2 0 46 3 1 0 1 1 3
482 4 49 1 0 3 9 2 5 4 2 3 1 3 2 1 0 36 2 2 1 1 0 4
484 4 24 2 0 2 6 2 4 1 1 4 1 3 2 2 0 45 3 1 0 1 0 2
486 4 43 2 0 3 9 2 4 3 2 1 2 6 2 1 0 48 2 2 1 1 0 4
488 4 71 2 0 2 10 2 3 3 2 4 1 2 2 1 1 47 3 2 0 0 0 2
489 4 32 3 1 2 4 NA 2 5 2 3 2 6 2 1 0 46 3 1 1 1 NA NA
490 4 32 3 1 2 1 2 4 2 1 3 4 1 2 2 0 72 1 2 0 1 0 2
491 4 32 3 0 1 2 2 2 4 2 2 4 5 2 1 0 58 2 1 0 NA 0 2
493 4 73 2 0 2 6 2 3 2 2 2 2 5 2 2 0 31 3 1 0 1 0 4
494 4 23 2 0 2 6 2 3 1 2 2 1 1 2 1 0 47 3 1 0 1 1 4
495 4 33 4 0 3 8 2 4 2 2 3 2 7 2 2 0 56 2 1 0 1 0 4
496 4 33 4 0 1 8 2 1 3 1 4 2 1 2 1 0 45 3 1 0 1 0 3
497 4 33 4 0 1 8 2 4 2 1 3 2 2 2 2 0 34 3 1 0 1 1 4
498 4 24 4 0 2 9 2 4 3 2 2 2 4 2 1 0 54 2 2 0 0 1 4
499 4 24 4 0 2 8 2 4 2 1 4 2 4 2 2 0 28 3 1 0 1 1 4
500 4 71 4 0 3 7 2 3 1 2 3 1 7 2 2 0 45 3 2 0 1 0 4
502 4 44 4 1 1 2 2 1 3 2 3 2 2 NA 2 0 82 1 1 0 1 0 2
503 4 24 2 0 2 6 2 3 3 2 3 2 2 2 2 0 36 3 2 0 1 0 3
504 4 43 2 0 2 9 2 4 2 2 3 2 3 2 2 0 41 3 2 1 1 1 4
505 4 43 2 1 1 2 NA 2 3 1 2 2 1 6 2 1 67 3 1 0 NA NA NA
506 4 43 2 0 2 6 2 4 2 1 3 2 1 2 2 1 55 3 1 0 NA 0 4
507 4 37 2 0 2 8 2 5 2 2 3 2 7 2 2 0 30 3 2 0 1 0 4
508 4 1 2 0 2 6 2 4 3 2 1 2 1 2 2 0 59 2 2 0 0 1 4
512 4 33 4 0 2 4 2 3 1 2 3 1 7 2 1 0 67 2 2 1 0 0 4
513 0 52 1 0 1 6 2 2 8 1 3 5 1 2 2 0 42 3 1 0 1 0 2
514 4 52 4 1 3 3 2 3 3 2 3 2 6 2 2 0 38 1 2 0 1 0 2
516 4 24 2 0 3 8 2 4 1 2 3 1 2 2 1 0 31 3 2 1 1 0 2
517 4 24 2 0 2 7 1 4 3 2 3 1 7 2 1 0 55 2 1 0 1 0 4
518 4 24 2 0 2 6 2 1 4 2 3 4 3 1 1 0 29 3 1 0 1 0 3
521 4 40 4 0 3 3 2 1 5 2 3 2 4 6 2 0 54 2 1 0 1 0 4
522 4 40 4 0 2 5 2 3 2 2 3 2 6 1 2 0 43 3 1 0 1 0 4
524 4 48 2 1 3 6 2 3 2 1 4 2 1 2 2 0 59 1 2 0 1 0 2
526 4 23 2 0 2 6 2 4 1 1 3 1 7 2 1 0 47 2 2 0 1 0 3
528 4 1 1 0 1 8 2 4 1 2 4 1 5 2 2 0 58 2 2 0 0 0 2
530 4 1 1 1 2 3 2 2 6 2 3 4 1 2 2 1 26 1 1 0 NA 0 2
532 4 24 2 0 2 6 2 4 4 2 3 4 1 2 2 0 31 3 1 0 1 0 4
533 4 43 2 0 1 3 2 2 4 2 3 4 1 2 1 1 44 3 1 0 NA 0 4
535 4 71 2 0 2 5 2 4 4 1 3 4 2 2 2 0 35 3 1 0 1 0 3
536 4 51 3 0 2 2 2 3 3 1 3 2 2 2 1 0 20 3 1 0 1 0 3
537 0 13 1 0 1 4 2 2 2 1 3 2 2 2 2 0 58 2 1 0 NA 1 4
538 4 43 3 0 3 10 2 4 1 2 3 1 1 2 1 0 35 3 2 1 1 0 3
539 4 43 3 1 2 2 NA 4 2 2 2 2 7 2 1 0 66 1 1 0 1 NA NA
540 4 66 3 0 1 2 2 2 2 1 3 2 1 2 2 0 63 3 1 0 1 1 4
541 4 66 3 0 1 1 2 2 2 2 2 2 1 2 1 0 52 2 1 0 1 1 4
542 4 66 3 0 1 4 1 3 2 1 1 2 1 2 1 0 62 2 1 0 1 1 4
548 4 14 2 0 1 6 2 3 2 1 2 2 6 2 1 0 62 2 2 0 0 1 4
549 4 14 2 0 3 2 1 3 4 2 3 4 7 2 2 0 75 2 2 0 1 0 2
550 4 22 1 0 2 8 2 3 4 2 3 4 3 2 1 0 42 3 1 1 1 0 1
553 0 23 1 1 2 10 NA 1 8 2 3 5 2 2 2 0 60 2 2 0 0 NA NA
554 0 23 1 0 2 9 2 3 1 2 4 1 6 2 1 0 65 2 1 0 1 0 2
555 0 23 1 0 2 10 1 4 1 1 4 1 5 2 1 0 58 3 1 0 NA 1 4
556 4 23 4 1 3 10 NA 5 6 2 4 4 6 2 1 0 37 3 2 1 1 NA NA
557 4 71 4 0 3 9 1 4 3 1 3 1 7 2 1 0 51 3 2 1 1 0 4
558 4 71 4 0 3 9 2 2 3 1 3 2 6 6 2 0 52 2 2 0 1 0 2
559 0 14 1 0 1 6 2 3 3 1 4 2 2 2 2 0 49 2 2 0 0 1 4
560 4 14 4 0 2 8 2 2 3 2 3 2 2 2 2 0 41 3 2 0 1 0 2
561 4 31 2 0 2 7 2 3 4 2 3 NA 4 2 1 0 36 3 1 1 1 0 2
562 4 1 1 0 3 7 2 4 2 1 4 2 4 2 1 0 40 3 2 1 0 1 4
564 4 1 1 0 2 9 2 5 3 2 4 2 4 2 1 0 40 3 1 1 0 1 3
565 4 1 1 0 1 7 2 3 3 2 3 5 3 2 1 1 31 3 1 0 NA 0 2
566 4 35 4 0 3 7 1 3 3 2 3 1 6 2 1 0 63 2 2 1 1 0 2
567 4 35 4 0 2 9 2 4 5 1 3 5 2 2 1 0 45 3 2 0 1 0 2
568 4 23 2 0 2 6 2 3 3 1 3 NA 3 2 2 0 45 2 2 0 1 0 2
569 0 49 1 1 2 1 1 5 2 1 3 2 4 3 2 0 77 1 2 0 1 0 1
570 0 49 1 0 2 7 2 3 8 1 3 5 4 2 1 0 54 2 2 0 0 0 2
571 0 33 1 1 3 6 NA 3 1 2 2 1 4 2 2 0 52 2 1 0 0 NA NA
573 4 44 4 0 1 2 1 4 4 2 3 1 2 2 2 0 67 2 1 0 1 0 2
574 4 44 4 0 2 3 2 3 3 2 3 2 1 2 2 0 26 3 1 0 1 0 3
575 4 51 1 0 1 7 2 3 4 2 3 4 2 2 1 0 48 3 1 0 1 0 NA
576 4 24 2 1 2 5 2 4 2 1 3 4 1 2 1 0 50 1 1 0 0 1 4
577 4 43 2 0 2 9 2 1 7 2 3 NA 1 2 2 0 36 2 1 0 1 0 3
579 4 1 2 0 2 6 2 1 3 1 4 2 3 3 2 0 24 3 1 0 0 1 4
580 4 1 2 1 2 8 2 4 5 1 3 5 2 2 2 0 26 1 1 0 1 1 4
581 4 1 2 0 3 5 2 5 3 2 3 2 1 2 2 0 62 2 2 0 NA 0 3
582 4 31 2 1 2 NA 2 3 2 1 3 2 1 2 1 0 32 1 1 0 1 0 2
583 4 47 2 0 1 5 2 1 3 1 3 2 1 1 1 0 53 2 1 0 1 0 2
584 4 47 2 0 1 8 2 1 3 2 3 2 1 2 1 0 50 3 1 0 1 0 4
585 4 62 2 0 1 6 2 3 4 1 4 1 2 2 1 0 60 2 1 0 1 0 2
586 4 42 1 0 3 9 2 5 3 2 3 1 6 2 2 0 47 3 2 0 1 0 4
587 4 42 1 0 2 7 2 3 3 2 3 2 5 2 2 0 31 3 2 0 1 0 4
589 4 40 4 0 1 4 1 1 7 1 3 NA NA 6 2 0 56 2 1 0 1 0 3
590 4 13 2 0 2 3 2 4 5 1 3 2 1 2 2 0 44 3 1 0 1 1 4
591 4 13 2 1 2 4 2 4 4 2 3 4 3 1 2 0 42 1 1 0 1 1 4
592 4 13 2 0 3 5 2 3 6 2 3 4 6 1 1 0 69 2 2 1 1 0 4
593 4 13 2 0 2 3 2 3 2 2 3 2 7 1 2 0 73 2 1 0 NA 0 4
594 4 13 2 0 2 9 2 5 2 2 3 2 6 1 1 0 44 3 2 1 1 0 4
596 4 23 2 0 1 2 1 2 6 1 3 4 2 6 2 0 69 2 1 0 0 1 3
597 4 43 3 1 1 1 1 1 6 2 3 4 7 2 2 1 52 1 1 0 NA 0 4
599 4 12 2 1 3 10 2 5 1 2 3 1 7 2 2 0 56 1 2 0 1 0 2
600 4 12 2 1 2 7 2 4 1 2 3 1 6 2 2 0 49 1 2 0 0 0 4
602 4 14 2 1 2 1 1 4 3 2 3 2 7 6 2 0 82 1 1 0 1 0 1
604 4 47 4 1 2 1 2 1 3 1 3 1 1 1 1 0 76 1 1 0 1 0 4
605 4 47 4 0 3 6 2 2 4 1 1 4 1 2 1 0 59 2 2 0 1 0 4
607 4 47 2 0 1 9 2 1 2 1 3 2 1 2 2 0 42 3 1 0 1 0 2
608 0 21 1 0 1 7 2 2 4 2 3 1 7 2 2 0 47 2 1 0 1 0 3
609 0 21 1 0 2 9 2 5 3 1 4 1 3 2 1 0 49 2 2 0 NA 0 4
611 4 21 NA 0 1 4 1 1 3 2 3 1 5 6 1 1 64 3 1 0 NA 0 2
612 4 71 4 0 3 9 2 3 2 2 4 4 3 2 1 0 63 2 2 1 1 0 4
613 4 71 4 1 2 2 2 5 1 2 2 1 1 2 2 0 56 1 1 0 1 1 4
614 4 12 NA 1 3 7 2 4 3 2 2 1 7 2 2 0 48 1 2 0 1 0 4
617 4 13 2 0 3 8 2 5 2 2 4 2 7 2 2 0 37 3 1 0 1 0 3
618 4 33 1 0 2 7 2 2 6 2 3 4 2 3 2 0 39 3 2 0 1 1 2
619 4 73 2 1 2 5 2 4 3 2 4 2 5 2 2 0 53 1 NA 0 1 0 2
620 4 47 2 0 3 9 2 3 3 1 2 1 1 2 2 0 37 3 2 0 1 0 3
622 4 23 2 0 2 6 2 3 5 2 3 5 4 2 1 0 46 3 1 0 1 0 2
623 4 49 2 0 1 10 2 3 3 1 3 1 1 2 2 0 70 2 1 0 0 0 2
624 0 3 1 1 2 8 2 3 2 1 3 2 1 2 2 0 54 1 NA 0 0 1 4
625 0 14 1 1 1 7 1 1 6 2 3 4 7 7 2 0 80 1 2 0 1 1 1
626 0 14 1 1 2 8 NA 3 4 2 3 4 6 2 2 0 47 1 2 0 1 NA NA
629 0 14 1 0 1 5 2 4 3 1 3 5 2 2 1 0 57 3 1 0 NA 0 2
630 4 14 4 0 1 6 2 4 5 2 3 5 6 2 1 0 61 2 2 0 1 0 3
631 4 34 2 1 2 3 2 4 5 1 4 5 1 1 2 0 70 1 1 0 1 0 4
632 4 34 2 0 2 4 2 2 3 2 4 2 6 1 2 0 72 2 1 0 1 0 2
633 4 34 2 0 1 4 2 4 2 2 3 2 6 2 1 0 49 2 1 0 1 0 NA
634 4 51 2 1 1 1 1 2 8 1 3 5 4 2 1 0 56 1 NA 0 1 0 2
636 4 24 2 1 2 3 2 4 6 2 3 4 2 2 2 0 37 1 1 0 1 0 1
637 4 51 1 0 2 8 2 3 3 2 3 2 3 2 2 0 38 3 1 0 1 0 4
638 4 51 1 1 2 6 NA 2 3 2 3 NA 2 NA 2 0 28 2 1 0 1 NA NA
639 4 51 1 0 2 7 2 4 1 1 2 1 1 6 2 0 23 3 2 0 1 1 3
640 4 24 2 0 2 4 1 5 3 1 1 2 6 2 2 0 61 2 1 0 1 0 4
641 4 24 2 0 2 8 1 3 3 2 2 2 6 2 1 0 56 3 1 0 0 0 3
642 4 46 4 0 2 3 1 1 6 1 1 4 1 2 2 0 61 2 1 0 1 0 4
643 4 46 4 1 1 1 1 1 8 2 1 5 1 5 1 0 69 1 1 0 1 0 2
644 4 46 4 0 2 2 2 1 8 1 3 5 1 4 2 0 51 3 1 0 1 0 4
645 4 14 2 0 3 5 2 4 4 2 3 4 2 2 1 0 48 3 1 0 0 1 4
647 4 22 NA 0 3 8 2 5 3 2 3 1 7 2 1 0 40 3 2 NA 1 0 2
648 4 71 4 0 2 8 2 5 2 1 3 4 3 2 2 0 38 3 2 0 1 0 2
650 0 13 1 1 2 4 2 3 3 2 3 2 2 2 2 0 45 1 2 0 0 1 4
651 0 1 NA 0 2 4 2 5 4 1 4 4 6 2 2 0 68 2 1 0 NA 0 4
652 4 49 2 0 2 4 1 3 2 2 3 2 2 2 2 0 48 3 1 0 1 0 4
653 4 1 1 0 1 6 2 1 3 1 4 1 2 2 2 0 47 2 1 0 0 1 4
654 4 1 1 0 3 10 2 4 6 2 4 4 3 2 1 0 46 3 2 1 1 1 4
656 4 47 2 0 2 5 2 4 1 1 3 1 1 2 1 0 47 2 2 0 1 0 4
657 4 24 2 0 3 9 2 4 1 2 4 1 5 2 2 0 35 3 2 0 1 0 4
658 4 13 1 0 2 6 2 4 4 2 4 4 7 2 2 0 46 3 1 0 0 1 4
659 4 13 1 0 1 6 2 4 6 1 3 4 7 2 1 0 55 2 1 0 1 0 2
660 4 31 2 1 1 1 2 2 4 2 3 4 2 6 2 0 81 1 1 0 1 0 1
661 4 31 2 1 1 3 2 3 2 2 3 2 7 2 2 0 69 1 2 0 1 0 4
665 4 23 2 0 1 5 2 3 2 1 3 2 1 2 2 0 44 3 1 0 0 1 4
666 4 66 3 1 1 3 NA 1 6 2 3 4 6 NA 1 0 43 3 1 1 1 NA NA
670 0 52 1 1 1 4 1 4 4 1 3 4 2 2 1 0 53 1 1 0 NA 1 4
671 4 52 4 0 2 6 2 4 8 2 3 5 6 6 2 0 39 3 1 0 1 0 3
672 0 3 1 0 2 7 2 4 3 2 3 1 1 2 1 0 53 2 1 0 0 1 4
673 4 13 NA 0 3 6 2 3 4 2 4 4 4 2 2 0 51 3 2 0 1 0 3
675 4 13 NA 0 3 9 2 5 2 2 3 2 7 2 1 0 32 3 2 1 1 0 4
676 4 13 NA 0 2 7 2 4 5 2 3 5 6 2 2 0 40 3 2 1 NA 1 4
677 0 14 1 0 1 5 1 4 5 1 2 2 1 2 1 0 49 2 1 0 0 1 2
680 4 34 2 0 1 1 2 3 4 2 3 4 4 6 1 0 53 3 1 0 1 0 1
681 4 34 2 0 1 6 2 1 3 1 4 2 1 1 2 0 46 3 1 0 1 0 3
682 4 35 4 1 1 1 2 1 3 2 3 2 7 3 2 0 74 1 1 0 1 0 2
683 4 35 4 0 3 7 2 4 1 2 2 1 6 2 1 0 54 3 1 0 1 0 4
685 4 33 1 0 3 8 2 3 1 1 4 1 1 2 2 0 54 2 2 0 0 0 3
686 0 33 1 1 3 8 2 4 3 1 4 1 2 2 2 1 33 1 1 0 NA 0 2
688 4 32 3 1 2 6 NA 4 3 1 3 2 3 2 1 0 52 1 1 0 1 NA NA
691 4 47 4 0 1 1 2 3 2 2 3 2 7 2 1 0 72 2 1 0 1 0 4
693 4 31 2 0 2 7 2 3 3 1 3 2 1 2 2 0 65 2 1 0 1 1 4
694 0 24 1 1 1 2 NA 2 8 1 3 5 1 3 1 0 74 1 NA 0 NA NA NA
695 0 24 1 0 1 8 2 3 6 1 3 4 2 2 1 0 52 2 1 0 0 1 2
696 4 24 4 1 2 9 NA 5 4 1 3 1 1 2 1 0 51 3 2 1 NA NA NA
697 0 24 1 1 2 9 NA 4 3 2 3 2 2 2 2 0 31 3 1 0 0 NA NA
699 0 23 1 0 2 10 2 5 3 1 3 2 1 2 1 0 54 2 2 0 NA 1 4
701 4 31 2 0 2 7 2 3 3 2 3 1 4 2 1 0 41 2 1 0 1 0 4
702 4 13 2 0 2 4 2 4 2 2 4 2 6 2 1 0 25 3 1 1 1 0 3
703 4 13 2 0 2 6 2 2 6 2 4 4 6 2 2 0 54 2 1 0 1 0 2
704 4 23 2 0 3 9 2 5 5 2 3 5 6 2 1 0 34 3 2 1 1 0 2
705 4 23 4 0 2 5 2 4 1 1 4 1 1 2 2 0 60 2 1 0 1 0 4
707 4 54 4 1 1 3 1 3 5 2 2 2 6 2 2 0 38 1 1 0 1 0 4
708 4 63 4 0 1 3 2 1 6 1 3 4 4 2 1 0 45 3 1 0 1 0 2
709 4 63 4 0 3 9 2 3 5 2 3 2 4 2 1 0 52 3 1 1 0 0 2
710 4 63 4 0 1 2 1 3 8 2 3 5 6 2 2 0 68 2 1 0 1 0 3
712 4 51 1 0 3 10 2 3 2 2 4 2 5 2 2 0 61 2 1 0 1 0 4
714 4 24 2 0 1 5 2 5 1 2 3 1 6 2 1 0 65 2 2 1 1 0 4
715 4 24 2 0 2 2 1 3 3 2 3 2 6 2 1 0 41 3 NA 1 1 0 3
717 4 24 1 0 3 9 2 4 3 2 3 2 6 2 1 0 53 2 1 0 1 0 4
718 4 24 1 0 2 7 1 3 4 1 3 4 2 6 1 0 25 3 1 0 1 0 4
720 4 62 2 0 2 7 2 4 3 2 4 1 2 2 1 0 48 2 1 0 NA 1 3
721 4 40 4 0 2 5 2 2 2 2 3 2 7 2 1 0 30 3 1 0 1 0 3
723 4 40 4 0 2 4 2 1 6 1 3 4 2 6 2 0 42 3 1 0 1 0 4
725 4 23 2 0 1 4 2 2 4 2 3 4 5 2 1 0 51 2 1 0 1 0 2
727 4 43 3 0 2 7 2 5 3 2 3 2 6 2 2 0 52 3 1 0 NA 1 4
728 4 43 3 1 2 8 NA 4 6 1 3 4 3 2 1 0 40 3 1 1 1 NA NA
730 4 49 2 0 1 6 2 3 3 1 3 1 1 1 2 1 51 2 2 0 NA 0 4
731 4 33 4 0 2 7 2 4 2 1 4 2 1 1 1 0 36 3 2 1 1 1 4
733 0 21 1 1 2 8 NA 3 1 1 3 1 1 2 2 0 62 2 1 0 0 NA NA
734 0 55 1 0 1 8 2 3 1 1 3 1 3 7 1 0 59 2 1 0 1 0 2
735 4 52 4 0 2 6 2 4 1 2 3 1 7 2 1 0 64 2 2 0 1 0 4
737 4 42 3 0 2 2 2 2 2 2 3 2 2 2 2 1 24 3 1 0 NA 0 4
739 4 23 2 0 2 6 2 4 5 2 3 2 5 2 2 0 46 2 1 0 NA 0 2
740 4 14 2 1 1 3 2 2 3 1 4 2 2 2 2 0 48 1 1 0 0 1 4
741 4 14 2 0 3 7 2 4 1 2 1 1 6 2 1 0 34 3 1 1 1 0 4
742 4 73 2 0 1 6 2 5 1 1 3 1 1 2 1 0 53 3 1 0 1 0 2
743 4 73 2 0 2 6 2 4 4 1 3 NA 2 2 1 0 57 3 1 0 1 0 2
744 4 71 4 0 2 7 2 3 1 2 3 1 7 2 1 0 57 2 1 0 1 0 2
745 0 71 1 1 2 4 2 1 5 2 3 2 6 2 2 0 52 1 2 0 1 0 3
746 0 13 1 1 1 2 NA 3 8 2 4 5 1 2 2 0 79 1 1 0 NA NA NA
747 0 13 1 1 1 3 2 4 3 1 3 1 3 2 2 0 54 1 1 0 NA 0 2
748 0 13 1 0 1 6 2 4 3 1 4 1 1 2 1 0 60 2 2 0 NA 0 2
749 0 13 1 0 1 5 1 3 2 1 3 2 1 2 2 0 45 3 1 0 0 1 4
750 4 13 NA 0 1 6 2 4 2 2 3 2 7 2 1 0 45 3 2 1 0 1 2
751 0 13 1 1 1 2 1 3 1 1 4 1 1 2 2 0 72 1 1 0 1 1 4
752 0 13 1 0 1 3 2 3 1 1 3 1 1 6 2 1 42 3 1 0 NA 1 4
753 0 13 1 1 3 8 2 4 1 2 3 1 3 2 1 0 34 1 1 1 0 0 2
754 0 13 1 0 1 6 2 1 8 1 4 5 1 7 2 0 62 2 1 0 NA 1 4
755 4 13 NA 0 1 10 2 2 4 1 3 4 4 2 2 0 45 3 NA 0 0 0 2
756 4 13 NA 0 3 10 2 5 2 2 3 4 5 1 1 0 51 3 1 0 1 0 2
757 0 1 NA 0 2 9 2 4 2 2 3 4 7 2 2 0 53 2 1 0 0 0 3
759 4 13 NA 0 2 7 2 4 1 1 3 1 1 2 2 0 34 3 2 0 NA 1 4
760 4 13 NA 0 2 7 2 4 3 2 3 1 7 2 1 0 43 3 2 0 NA 0 4
761 4 13 NA 0 3 9 2 3 3 2 3 1 7 2 2 0 48 2 2 0 NA 0 2
762 0 14 1 0 2 7 1 4 4 2 3 4 2 2 1 0 44 3 1 0 1 1 3
766 4 1 1 0 3 8 1 5 1 2 3 1 7 2 1 0 46 3 2 1 0 0 4
768 4 47 2 0 2 5 2 1 5 2 3 2 2 2 2 0 36 3 2 0 1 0 4
770 4 49 1 0 3 9 2 5 2 2 3 2 7 2 1 0 40 3 2 1 1 0 4
771 4 14 2 0 2 5 2 5 2 1 3 2 1 2 2 0 34 3 1 0 1 1 4
772 4 71 2 0 3 6 2 2 8 2 4 5 2 6 1 0 29 3 1 1 1 0 1
773 4 32 3 0 2 5 2 3 3 1 2 2 4 2 2 0 37 3 1 0 1 0 2
775 4 62 2 0 2 6 2 4 3 2 3 1 6 2 2 0 64 2 1 0 1 0 3
776 4 14 2 0 3 8 2 5 3 2 3 2 4 2 2 0 46 3 2 0 1 0 4
779 4 46 4 0 1 1 1 1 6 2 1 4 7 6 1 1 47 1 1 1 NA 0 4
780 4 14 2 0 2 4 2 2 5 1 3 5 2 2 1 0 34 3 1 1 1 0 4
781 0 71 1 0 2 6 2 4 4 2 3 4 2 6 2 1 31 3 1 0 0 0 2
784 4 71 4 0 3 9 2 5 2 2 3 2 5 7 2 0 56 2 2 0 1 0 3
785 0 33 1 1 2 2 2 3 3 2 3 1 6 7 2 0 63 1 2 0 0 0 2
786 4 33 1 0 2 8 2 3 1 2 4 1 7 2 2 0 55 2 2 0 0 0 4
787 4 63 4 0 2 1 2 4 3 1 3 2 6 2 1 0 60 2 2 0 0 0 2
788 4 44 4 0 3 1 1 3 1 1 3 1 1 2 2 0 75 2 2 0 1 0 4
789 4 44 4 0 1 8 2 4 1 1 1 1 1 2 2 0 57 2 1 0 1 0 3
790 4 51 1 0 3 7 1 4 5 1 3 2 2 6 2 0 48 3 1 0 1 0 2
791 4 51 1 0 2 6 2 3 3 2 3 2 4 2 2 0 32 3 2 0 1 0 4
792 4 43 2 1 1 2 NA 2 3 2 2 1 1 2 2 1 44 1 1 0 NA NA NA
794 4 41 2 0 2 3 2 4 3 1 4 1 7 5 2 1 45 3 1 0 NA 0 3
795 4 42 1 0 2 9 2 3 4 2 3 4 2 2 2 0 43 3 2 0 1 0 4
796 4 42 1 0 3 10 2 5 1 2 3 1 6 2 1 0 51 2 2 1 1 0 4
798 4 23 2 0 2 7 2 3 3 2 2 2 6 2 2 0 46 3 1 0 0 0 1
