typeofplace state region married education familyincome seedebates efficacy involvement predict close importance partyid willvote sex race age lifecycle socialclass wasmilitary parentsborn catholic church
99 0 21 1 0 2 7 1 3 3 1 2 1 2 2 1 1 34 3 1 1 NA 0 2
100 4 14 2 0 2 6 2 4 4 2 3 4 3 2 1 0 48 3 1 1 1 0 4
103 4 3 1 0 2 7 2 3 3 1 3 NA 2 2 1 0 42 3 1 1 0 1 2
104 4 52 4 0 3 10 2 5 1 2 3 1 5 2 2 0 45 2 2 0 1 0 2
105 0 3 1 1 2 2 2 4 2 1 4 4 4 2 1 0 64 1 1 1 1 0 2
106 4 71 4 1 1 2 2 2 2 2 2 2 1 3 1 0 72 1 1 0 1 0 2
107 0 13 1 0 1 4 2 2 6 2 3 4 5 2 2 0 39 3 1 0 0 1 2
108 0 13 1 0 3 9 2 5 2 2 1 2 3 2 1 0 44 2 2 1 0 1 4
109 0 13 1 0 2 8 2 3 3 2 1 1 2 1 2 0 54 3 2 0 NA 0 2
112 4 24 2 1 2 4 2 4 5 2 3 5 5 2 2 0 30 1 1 0 1 0 2
113 4 42 3 1 1 1 1 2 2 2 2 2 1 3 2 0 81 1 1 0 1 0 2
116 4 31 2 0 2 7 2 4 3 2 4 2 4 2 2 0 29 3 2 0 1 0 3
117 4 31 2 0 3 10 2 4 1 1 4 1 6 2 2 0 52 2 2 0 1 0 4
118 4 13 2 1 1 2 2 4 3 2 3 2 6 2 2 0 53 1 1 0 1 0 4
120 4 46 4 0 2 2 2 1 4 2 3 4 NA 7 1 1 29 3 1 1 NA 0 4
122 4 14 2 0 3 8 2 5 3 2 3 1 6 1 1 0 38 3 1 1 1 0 3
124 4 14 2 1 2 8 NA 2 8 1 3 5 1 6 2 0 28 3 1 0 0 NA NA
126 0 21 1 0 2 7 2 2 4 1 3 1 1 3 2 0 58 2 1 0 NA 0 1
127 0 23 1 1 2 6 2 4 3 1 3 1 2 1 2 0 42 1 1 0 1 1 4
128 4 71 4 0 3 10 1 5 3 2 3 1 6 1 1 0 57 3 2 0 1 0 4
129 0 13 1 0 1 6 2 2 3 2 3 1 1 2 2 0 43 3 1 0 NA 1 4
130 0 13 1 0 1 4 1 1 6 2 3 4 NA 6 2 1 39 1 1 0 NA 1 4
131 0 13 1 0 2 6 1 4 2 2 3 2 5 2 1 1 38 3 1 1 NA 0 2
132 0 13 1 0 2 6 2 3 1 1 3 1 1 2 2 0 43 3 1 0 0 0 2
133 4 14 4 0 3 7 1 4 6 2 3 4 6 2 1 0 58 2 2 1 0 0 1
134 0 34 1 0 2 9 2 3 3 1 3 1 2 NA 2 0 38 3 1 0 0 1 4
135 4 47 2 1 2 1 NA 1 8 1 3 5 2 2 2 1 45 1 1 0 NA NA NA
136 4 49 1 0 2 7 2 3 3 2 3 5 4 2 2 0 30 3 2 0 1 0 3
137 4 49 1 0 3 7 2 2 8 2 3 5 2 2 2 0 35 3 1 0 1 0 3
138 4 32 3 0 3 3 2 4 2 2 3 2 7 2 2 0 66 2 1 0 1 0 3
140 4 24 1 0 2 8 2 4 3 2 3 1 7 2 1 0 44 2 2 1 1 0 2
141 4 24 1 0 2 5 2 2 8 2 2 5 NA 5 2 0 39 3 1 0 1 0 4
142 4 43 3 0 2 4 2 4 5 2 3 5 2 2 2 0 74 2 2 0 1 1 1
143 4 33 4 0 2 5 2 5 1 2 3 1 7 2 2 0 38 3 2 0 1 0 4
